draw	prepare	execute	process
1.06	0.27	3.85	0.58
1.04	0.27	3.69	0.61
1.06	0.24	3.72	0.58
1.07	0.24	3.81	0.58
1.09	0.24	3.69	0.92
2.45	0.21	7.42	0.61
2.46	0.27	3.42	1.50
0.95	0.31	3.33	0.58
1.00	0.27	3.36	0.58
0.86	0.31	3.94	0.61
2.08	0.24	8.67	0.76
1.58	0.18	4.18	0.55
2.08	0.15	4.24	0.67
1.97	0.18	5.13	0.52
3.33	0.15	4.00	0.55
1.91	0.18	5.22	0.55
3.79	0.15	3.78	0.52
2.16	0.61	4.55	0.73
2.00	0.18	4.97	0.70
2.08	0.21	5.00	0.67
1.88	0.21	4.91	0.70
1.99	0.21	4.97	0.70
1.88	0.21	4.97	0.70
2.20	0.18	5.46	0.85
2.45	0.18	3.63	0.49
1.48	0.15	4.76	0.67
2.23	0.34	5.55	0.92
2.02	0.37	5.43	0.82
1.36	0.37	5.46	0.85
1.31	0.37	5.37	0.98
1.90	0.37	5.34	0.85
1.30	0.37	5.34	0.85
1.28	0.34	5.28	1.25
1.60	0.40	5.37	0.85
1.33	0.37	5.37	0.82
1.28	0.34	5.31	0.98
1.63	0.40	6.87	0.98
1.64	0.40	8.54	1.13
1.68	0.37	6.13	1.01
1.90	0.40	5.92	1.07
1.51	0.40	6.10	0.98
1.22	0.34	4.94	0.79
1.32	0.31	4.91	0.76
1.15	0.31	4.58	0.79
1.52	0.31	4.64	0.76
1.38	0.31	4.58	0.73
1.21	0.31	4.58	0.73
1.13	0.31	4.49	0.76
1.66	0.31	4.58	0.82
1.24	0.34	4.55	0.73
1.13	0.31	4.49	0.73
1.57	0.34	4.52	0.76
1.21	0.31	4.79	0.73
1.19	0.34	4.70	0.73
1.32	0.31	4.55	0.76
1.12	0.31	6.04	0.76
1.46	0.31	4.55	0.73
1.29	0.31	4.18	0.76
1.18	0.31	4.21	0.73
1.46	0.27	4.12	0.73
1.02	0.31	4.18	0.73
1.40	0.18	8.24	0.73
1.69	0.15	3.97	0.73
1.51	0.15	3.72	0.58
1.56	0.12	3.69	0.58
1.87	0.15	3.69	0.58
1.58	0.18	4.39	0.58
1.68	0.18	3.69	0.58
1.66	0.18	3.66	0.58
1.51	0.18	3.72	0.55
3.48	0.21	3.75	0.58
2.94	0.15	3.66	0.58
3.86	0.24	5.52	0.85
3.75	0.27	6.13	0.79
10.78	0.24	5.98	2.90
2.98	0.18	9.70	0.76
1.95	0.52	5.37	0.70
1.99	0.58	5.37	0.67
1.09	0.34	4.06	0.52
1.16	0.31	3.54	0.49
1.11	0.43	3.42	0.49
1.15	0.40	3.45	0.49
1.13	0.40	3.63	0.52
0.92	0.43	3.39	0.52
0.90	0.40	3.66	0.49
0.88	0.43	3.39	0.49
0.92	0.43	3.63	0.52
0.90	0.64	3.42	0.49
1.16	0.46	4.55	0.58
1.02	0.43	3.88	0.52
1.12	0.40	4.30	0.52
1.07	0.37	4.52	0.64
1.38	0.37	5.52	0.79
1.36	0.37	5.52	0.85
1.34	0.37	5.55	0.85
1.32	0.37	5.34	0.89
1.39	0.37	5.37	0.85
1.31	0.37	5.58	0.85
1.35	0.37	5.31	0.92
1.36	0.34	5.31	0.82
1.28	0.37	5.49	0.82
1.32	0.37	5.37	0.92
1.36	0.37	5.28	0.82
1.34	0.37	5.58	0.85
1.44	0.40	7.78	1.10
1.48	0.37	7.60	0.89
1.68	0.40	6.41	0.89
1.44	0.31	5.13	0.76
1.12	0.31	4.94	0.73
1.10	0.31	5.00	0.73
1.41	0.31	4.55	0.70
1.21	0.31	4.67	0.73
1.13	0.31	4.67	0.70
1.38	0.34	4.67	0.70
1.12	0.27	4.46	0.70
1.37	0.31	4.70	0.70
1.17	0.31	4.52	0.73
1.48	0.18	3.69	0.52
1.13	0.15	4.21	0.52
1.38	0.18	3.60	0.52
1.21	0.15	3.78	0.49
1.34	0.18	4.73	4.70
0.99	0.15	3.63	0.49
1.27	0.18	3.48	0.46
0.94	0.15	3.75	0.46
1.23	0.24	3.54	1.28
1.00	0.15	3.20	0.46
0.94	0.15	3.57	0.46
1.29	0.21	9.64	0.82
1.61	0.15	3.88	0.58
3.39	0.15	3.72	0.58
1.57	0.15	3.85	0.55
3.10	0.21	4.46	0.64
2.99	0.15	3.75	0.58
3.09	0.15	3.72	0.58
3.25	0.18	3.75	0.58
3.05	0.15	3.72	0.58
2.94	0.15	3.60	0.61
3.16	0.15	3.57	0.58
3.02	0.15	6.23	0.82
3.15	0.21	5.43	0.85
4.35	0.24	7.45	0.85
1.80	0.24	6.07	0.89
1.87	0.24	6.10	0.82
1.91	0.21	5.49	0.85
2.13	0.37	5.55	0.82
1.87	0.37	5.37	0.82
1.33	0.34	5.68	0.85
1.31	0.37	5.55	0.85
1.32	0.34	5.37	0.82
1.42	0.37	5.25	0.85
1.28	0.37	5.83	0.85
